provinsi,wilayah,tahun_tanggal,positif_covid,kematian
Northern Territory,Australia,2021-08-29,201,0
Queensland,Australia,2021-08-29,1979,7
South Australia,Australia,2021-08-29,871,4
Tasmania,Australia,2021-08-29,235,13
Victoria,Australia,2021-08-29,21996,820
Western Australia,Australia,2021-08-29,1086,9
Australian Capital Territory,Australia,2021-08-30,398,3
New South Wales,Australia,2021-08-30,27026,150
Northern Territory,Australia,2021-08-30,202,0
Queensland,Australia,2021-08-30,1979,7
South Australia,Australia,2021-08-30,871,4
Tasmania,Australia,2021-08-30,235,13
Victoria,Australia,2021-08-30,22071,820
Western Australia,Australia,2021-08-30,1086,9
Australian Capital Territory,Australia,2021-08-31,421,3
New South Wales,Australia,2021-08-31,28111,154
Northern Territory,Australia,2021-08-31,202,0
Queensland,Australia,2021-08-31,1980,7
South Australia,Australia,2021-08-31,871,4
Tasmania,Australia,2021-08-31,235,13
Victoria,Australia,2021-08-31,22187,822
Western Australia,Australia,2021-08-31,1086,9
Australian Capital Territory,Australia,2021-09-01,433,3
New South Wales,Australia,2021-09-01,29390,161
Northern Territory,Australia,2021-09-01,202,0
Queensland,Australia,2021-09-01,1982,7
South Australia,Australia,2021-09-01,871,4
Tasmania,Australia,2021-09-01,235,13
Victoria,Australia,2021-09-01,22361,822
Western Australia,Australia,2021-09-01,1086,9
Australian Capital Territory,Australia,2021-09-02,451,3
New South Wales,Australia,2021-09-02,30807,173
Northern Territory,Australia,2021-09-02,202,0
Queensland,Australia,2021-09-02,1982,7
South Australia,Australia,2021-09-02,875,4
Tasmania,Australia,2021-09-02,235,13
Victoria,Australia,2021-09-02,22570,823
Western Australia,Australia,2021-09-02,1086,9
Australian Capital Territory,Australia,2021-09-03,483,3
New South Wales,Australia,2021-09-03,32323,177
Northern Territory,Australia,2021-09-03,202,0
Queensland,Australia,2021-09-03,1984,7
South Australia,Australia,2021-09-03,877,4
Tasmania,Australia,2021-09-03,235,13
Victoria,Australia,2021-09-03,22759,823
Western Australia,Australia,2021-09-03,1086,9
Australian Capital Territory,Australia,2021-09-04,498,3
New South Wales,Australia,2021-09-04,33792,180
Northern Territory,Australia,2021-09-04,202,0
Queensland,Australia,2021-09-04,1985,7
South Australia,Australia,2021-09-04,879,4
Tasmania,Australia,2021-09-04,235,13
Victoria,Australia,2021-09-04,22942,823
Western Australia,Australia,2021-09-04,1086,9
Australian Capital Territory,Australia,2021-09-05,509,3
New South Wales,Australia,2021-09-05,35064,185
Northern Territory,Australia,2021-09-05,202,0
Queensland,Australia,2021-09-05,1991,7
South Australia,Australia,2021-09-05,880,4
Tasmania,Australia,2021-09-05,235,13
Victoria,Australia,2021-09-05,23188,823
Western Australia,Australia,2021-09-05,1086,9
Australian Capital Territory,Australia,2021-09-06,528,3
New South Wales,Australia,2021-09-06,36267,193
Northern Territory,Australia,2021-09-06,203,0
Queensland,Australia,2021-09-06,1991,7
South Australia,Australia,2021-09-06,881,4
Tasmania,Australia,2021-09-06,235,13
Victoria,Australia,2021-09-06,23429,823
Western Australia,Australia,2021-09-06,1087,9
Australian Capital Territory,Australia,2021-09-07,548,3
New South Wales,Australia,2021-09-07,37724,201
Northern Territory,Australia,2021-09-07,203,0
Queensland,Australia,2021-09-07,1991,7
South Australia,Australia,2021-09-07,888,4
Tasmania,Australia,2021-09-07,235,13
Victoria,Australia,2021-09-07,23641,823
Western Australia,Australia,2021-09-07,1087,9
Australian Capital Territory,Australia,2021-09-08,563,3
New South Wales,Australia,2021-09-08,39108,207
Northern Territory,Australia,2021-09-08,203,0
Queensland,Australia,2021-09-08,1992,7
South Australia,Australia,2021-09-08,889,4
Tasmania,Australia,2021-09-08,235,13
Victoria,Australia,2021-09-08,23964,823
Western Australia,Australia,2021-09-08,1088,9
Australian Capital Territory,Australia,2021-09-09,587,3
New South Wales,Australia,2021-09-09,40616,216
Northern Territory,Australia,2021-09-09,203,0
Queensland,Australia,2021-09-09,1995,7
South Australia,Australia,2021-09-09,891,4
Tasmania,Australia,2021-09-09,235,13
Victoria,Australia,2021-09-09,24297,824
Western Australia,Australia,2021-09-09,1088,9
Australian Capital Territory,Australia,2021-09-10,602,3
New South Wales,Australia,2021-09-10,42219,224
Northern Territory,Australia,2021-09-10,203,0
Queensland,Australia,2021-09-10,2002,7
South Australia,Australia,2021-09-10,891,4
Tasmania,Australia,2021-09-10,235,13
Victoria,Australia,2021-09-10,24747,824
Western Australia,Australia,2021-09-10,1088,9
Australian Capital Territory,Australia,2021-09-11,617,3
New South Wales,Australia,2021-09-11,43436,231
Northern Territory,Australia,2021-09-11,203,0
Queensland,Australia,2021-09-11,2003,7
South Australia,Australia,2021-09-11,892,4
Tasmania,Australia,2021-09-11,235,13
Victoria,Australia,2021-09-11,25128,824
Western Australia,Australia,2021-09-11,1089,9
Australian Capital Territory,Australia,2021-09-12,630,3
New South Wales,Australia,2021-09-12,44674,238
Northern Territory,Australia,2021-09-12,203,0
Queensland,Australia,2021-09-12,2007,7
South Australia,Australia,2021-09-12,894,4
Tasmania,Australia,2021-09-12,235,13
Victoria,Australia,2021-09-12,25591,824
Western Australia,Australia,2021-09-12,1089,9
Australian Capital Territory,Australia,2021-09-13,652,3
New South Wales,Australia,2021-09-13,45782,240
Northern Territory,Australia,2021-09-13,203,0
Queensland,Australia,2021-09-13,2009,7
South Australia,Australia,2021-09-13,895,4
Tasmania,Australia,2021-09-13,235,13
Victoria,Australia,2021-09-13,26036,826
Western Australia,Australia,2021-09-13,1089,9
Australian Capital Territory,Australia,2021-09-14,665,3
New South Wales,Australia,2021-09-14,47007,252
Northern Territory,Australia,2021-09-14,203,0
Queensland,Australia,2021-09-14,2010,7
South Australia,Australia,2021-09-14,896,4
Tasmania,Australia,2021-09-14,235,13
Victoria,Australia,2021-09-14,26439,828
Western Australia,Australia,2021-09-14,1089,9
Australian Capital Territory,Australia,2021-09-15,680,3
New South Wales,Australia,2021-09-15,48341,264
Northern Territory,Australia,2021-09-15,204,0
Queensland,Australia,2021-09-15,2013,7
South Australia,Australia,2021-09-15,896,4
Tasmania,Australia,2021-09-15,235,13
Victoria,Australia,2021-09-15,26942,828
Western Australia,Australia,2021-09-15,1089,9
Australian Capital Territory,Australia,2021-09-16,710,3
New South Wales,Australia,2021-09-16,49611,276
Northern Territory,Australia,2021-09-16,204,0
Queensland,Australia,2021-09-16,2014,7
South Australia,Australia,2021-09-16,898,4
Tasmania,Australia,2021-09-16,235,13
Victoria,Australia,2021-09-16,27439,829
Western Australia,Australia,2021-09-16,1089,9
Australian Capital Territory,Australia,2021-09-17,725,3
New South Wales,Australia,2021-09-17,50919,282
Northern Territory,Australia,2021-09-17,204,0
Queensland,Australia,2021-09-17,2015,7
South Australia,Australia,2021-09-17,898,4
Tasmania,Australia,2021-09-17,235,13
Victoria,Australia,2021-09-17,27968,830
Western Australia,Australia,2021-09-17,1092,9
Australian Capital Territory,Australia,2021-09-18,742,3
New South Wales,Australia,2021-09-18,51986,295
Northern Territory,Australia,2021-09-18,204,0
Queensland,Australia,2021-09-18,2015,7
South Australia,Australia,2021-09-18,898,4
Tasmania,Australia,2021-09-18,235,13
Victoria,Australia,2021-09-18,28456,831
Western Australia,Australia,2021-09-18,1092,9
Australian Capital Territory,Australia,2021-09-19,749,3
New South Wales,Australia,2021-09-19,52922,299
Northern Territory,Australia,2021-09-19,206,0
Queensland,Australia,2021-09-19,2017,7
South Australia,Australia,2021-09-19,898,4
Tasmania,Australia,2021-09-19,235,13
Victoria,Australia,2021-09-19,29008,832
Western Australia,Australia,2021-09-19,1093,9
Australian Capital Territory,Australia,2021-09-20,765,3
New South Wales,Australia,2021-09-20,53898,309
Northern Territory,Australia,2021-09-20,206,0
Queensland,Australia,2021-09-20,2018,7
South Australia,Australia,2021-09-20,898,4
Tasmania,Australia,2021-09-20,235,13
Victoria,Australia,2021-09-20,29596,833
Western Australia,Australia,2021-09-20,1094,9
Australian Capital Territory,Australia,2021-09-21,782,3
New South Wales,Australia,2021-09-21,54919,314
Northern Territory,Australia,2021-09-21,206,0
Queensland,Australia,2021-09-21,2019,7
South Australia,Australia,2021-09-21,898,4
Tasmania,Australia,2021-09-21,235,13
Victoria,Australia,2021-09-21,30216,836
Western Australia,Australia,2021-09-21,1094,9
Australian Capital Territory,Australia,2021-09-22,798,3
New South Wales,Australia,2021-09-22,55962,320
Northern Territory,Australia,2021-09-22,208,0
Queensland,Australia,2021-09-22,2021,7
South Australia,Australia,2021-09-22,899,4
Tasmania,Australia,2021-09-22,235,13
Victoria,Australia,2021-09-22,30961,840
Western Australia,Australia,2021-09-22,1094,9
Australian Capital Territory,Australia,2021-09-23,817,3
New South Wales,Australia,2021-09-23,56988,331
Northern Territory,Australia,2021-09-23,208,0
Queensland,Australia,2021-09-23,2021,7
South Australia,Australia,2021-09-23,900,4
Tasmania,Australia,2021-09-23,235,13
Victoria,Australia,2021-09-23,31679,841
Western Australia,Australia,2021-09-23,1094,9
Australian Capital Territory,Australia,2021-09-24,849,3
New South Wales,Australia,2021-09-24,57983,342
Northern Territory,Australia,2021-09-24,208,0
Queensland,Australia,2021-09-24,2022,7
South Australia,Australia,2021-09-24,900,4
Tasmania,Australia,2021-09-24,235,13
Victoria,Australia,2021-09-24,32515,842
Western Australia,Australia,2021-09-24,1095,9
Australian Capital Territory,Australia,2021-09-25,874,3
New South Wales,Australia,2021-09-25,58931,351
Northern Territory,Australia,2021-09-25,208,0
Queensland,Australia,2021-09-25,2022,7
South Australia,Australia,2021-09-25,900,4
Tasmania,Australia,2021-09-25,235,13
Victoria,Australia,2021-09-25,33294,844
Western Australia,Australia,2021-09-25,1095,9
Australian Capital Territory,Australia,2021-09-26,893,4
New South Wales,Australia,2021-09-26,59709,363
Northern Territory,Australia,2021-09-26,209,0
Queensland,Australia,2021-09-26,2022,7
South Australia,Australia,2021-09-26,901,4
Tasmania,Australia,2021-09-26,235,13
Victoria,Australia,2021-09-26,33967,845
Western Australia,Australia,2021-09-26,1095,9
Australian Capital Territory,Australia,2021-09-27,906,4
New South Wales,Australia,2021-09-27,60561,370
Northern Territory,Australia,2021-09-27,209,0
Queensland,Australia,2021-09-27,2028,7
South Australia,Australia,2021-09-27,901,4
Tasmania,Australia,2021-09-27,235,13
Victoria,Australia,2021-09-27,34975,849
Western Australia,Australia,2021-09-27,1096,9
Australian Capital Territory,Australia,2021-09-28,928,5
New South Wales,Australia,2021-09-28,61420,385
Northern Territory,Australia,2021-09-28,210,0
Queensland,Australia,2021-09-28,2029,7
South Australia,Australia,2021-09-28,901,4
Tasmania,Australia,2021-09-28,235,13
Victoria,Australia,2021-09-28,35904,856
Western Australia,Australia,2021-09-28,1096,9
Australian Capital Territory,Australia,2021-09-29,959,6
New South Wales,Australia,2021-09-29,62353,391
Northern Territory,Australia,2021-09-29,211,0
Queensland,Australia,2021-09-29,2035,7
South Australia,Australia,2021-09-29,901,4
Tasmania,Australia,2021-09-29,235,13
Victoria,Australia,2021-09-29,37333,861
Western Australia,Australia,2021-09-29,1096,9
Australian Capital Territory,Australia,2021-09-30,1011,8
New South Wales,Australia,2021-09-30,63212,406
Northern Territory,Australia,2021-09-30,211,0
Queensland,Australia,2021-09-30,2039,7
South Australia,Australia,2021-09-30,901,4
Tasmania,Australia,2021-09-30,235,13
Victoria,Australia,2021-09-30,38476,864
Western Australia,Australia,2021-09-30,1096,9
Australian Capital Territory,Australia,2021-10-01,1063,6
New South Wales,Australia,2021-10-01,64014,416
Northern Territory,Australia,2021-10-01,212,0
Queensland,Australia,2021-10-01,2042,7
South Australia,Australia,2021-10-01,902,4
Tasmania,Australia,2021-10-01,235,13
Victoria,Australia,2021-10-01,39952,866
Western Australia,Australia,2021-10-01,1096,9
Australian Capital Territory,Australia,2021-10-02,1101,6
New South Wales,Australia,2021-10-02,64668,426
Northern Territory,Australia,2021-10-02,212,0
Queensland,Australia,2021-10-02,2043,7
South Australia,Australia,2021-10-02,904,4
Tasmania,Australia,2021-10-02,236,13
Victoria,Australia,2021-10-02,41128,869
Western Australia,Australia,2021-10-02,1096,9
Australian Capital Territory,Australia,2021-10-03,1129,8
New South Wales,Australia,2021-10-03,65279,432
Northern Territory,Australia,2021-10-03,212,0
Queensland,Australia,2021-10-03,2046,7
South Australia,Australia,2021-10-03,905,4
Tasmania,Australia,2021-10-03,236,13
Victoria,Australia,2021-10-03,42505,873
Western Australia,Australia,2021-10-03,1099,9
Australian Capital Territory,Australia,2021-10-04,1162,8
New South Wales,Australia,2021-10-04,65876,439
Northern Territory,Australia,2021-10-04,212,0
Queensland,Australia,2021-10-04,2048,7
South Australia,Australia,2021-10-04,906,4
Tasmania,Australia,2021-10-04,236,13
Victoria,Australia,2021-10-04,44251,877
Western Australia,Australia,2021-10-04,1109,9
Australian Capital Territory,Australia,2021-10-05,1190,9
New South Wales,Australia,2021-10-05,66456,449
Northern Territory,Australia,2021-10-05,212,0
Queensland,Australia,2021-10-05,2051,7
South Australia,Australia,2021-10-05,907,4
Tasmania,Australia,2021-10-05,236,13
Victoria,Australia,2021-10-05,45664,888
Western Australia,Australia,2021-10-05,1110,9
Australian Capital Territory,Australia,2021-10-06,1231,9
New South Wales,Australia,2021-10-06,67024,457
Northern Territory,Australia,2021-10-06,212,0
Queensland,Australia,2021-10-06,2056,7
South Australia,Australia,2021-10-06,907,4
Tasmania,Australia,2021-10-06,236,13
Victoria,Australia,2021-10-06,47266,890
Western Australia,Australia,2021-10-06,1110,9
Australian Capital Territory,Australia,2021-10-07,1271,9
New South Wales,Australia,2021-10-07,67669,468
Northern Territory,Australia,2021-10-07,213,0
Queensland,Australia,2021-10-07,2056,7
South Australia,Australia,2021-10-07,907,4
Tasmania,Australia,2021-10-07,236,13
Victoria,Australia,2021-10-07,49104,895
Western Australia,Australia,2021-10-07,1110,9
Australian Capital Territory,Australia,2021-10-08,1296,9
New South Wales,Australia,2021-10-08,68246,479
Northern Territory,Australia,2021-10-08,214,0
Queensland,Australia,2021-10-08,2059,7
South Australia,Australia,2021-10-08,908,4
Tasmania,Australia,2021-10-08,236,13
Victoria,Australia,2021-10-08,51012,900
Western Australia,Australia,2021-10-08,1110,9
Australian Capital Territory,Australia,2021-10-09,1326,9
New South Wales,Australia,2021-10-09,68712,485
Northern Territory,Australia,2021-10-09,214,0
Queensland,Australia,2021-10-09,2062,7
South Australia,Australia,2021-10-09,909,4
Tasmania,Australia,2021-10-09,236,13
Victoria,Australia,2021-10-09,52902,905
Western Australia,Australia,2021-10-09,1110,9
Australian Capital Territory,Australia,2021-10-10,1358,9
New South Wales,Australia,2021-10-10,69205,493
Northern Territory,Australia,2021-10-10,215,0
Queensland,Australia,2021-10-10,2063,7
South Australia,Australia,2021-10-10,910,4
Tasmania,Australia,2021-10-10,236,13
Victoria,Australia,2021-10-10,54470,913
Western Australia,Australia,2021-10-10,1110,9
Australian Capital Territory,Australia,2021-10-11,1386,9
New South Wales,Australia,2021-10-11,69552,498
Northern Territory,Australia,2021-10-11,215,0
Queensland,Australia,2021-10-11,2067,7
South Australia,Australia,2021-10-11,913,4
Tasmania,Australia,2021-10-11,236,13
Victoria,Australia,2021-10-11,55936,921
Western Australia,Australia,2021-10-11,1110,9
Australian Capital Territory,Australia,2021-10-12,1437,9
New South Wales,Australia,2021-10-12,69993,502
Northern Territory,Australia,2021-10-12,216,0
Queensland,Australia,2021-10-12,2067,7
South Australia,Australia,2021-10-12,914,4
Tasmania,Australia,2021-10-12,236,13
Victoria,Australia,2021-10-12,57470,934
Western Australia,Australia,2021-10-12,1111,9
Australian Capital Territory,Australia,2021-10-13,1483,10
New South Wales,Australia,2021-10-13,70391,508
Northern Territory,Australia,2021-10-13,222,0
Queensland,Australia,2021-10-13,2067,7
South Australia,Australia,2021-10-13,914,4
Tasmania,Australia,2021-10-13,237,13
Victoria,Australia,2021-10-13,59763,945
Western Australia,Australia,2021-10-13,1111,9
Australian Capital Territory,Australia,2021-10-14,1518,11
New South Wales,Australia,2021-10-14,70781,512
Northern Territory,Australia,2021-10-14,222,0
Queensland,Australia,2021-10-14,2068,7
South Australia,Australia,2021-10-14,914,4
Tasmania,Australia,2021-10-14,237,13
Victoria,Australia,2021-10-14,61869,951
Western Australia,Australia,2021-10-14,1111,9
Australian Capital Territory,Australia,2021-10-15,1538,11
New South Wales,Australia,2021-10-15,71099,514
Northern Territory,Australia,2021-10-15,224,0
Queensland,Australia,2021-10-15,2071,7
South Australia,Australia,2021-10-15,914,4
Tasmania,Australia,2021-10-15,237,13
Victoria,Australia,2021-10-15,63836,957
Western Australia,Australia,2021-10-15,1112,9
Australian Capital Territory,Australia,2021-10-16,1571,11
New South Wales,Australia,2021-10-16,71399,524
Northern Territory,Australia,2021-10-16,225,0
Queensland,Australia,2021-10-16,2071,7
South Australia,Australia,2021-10-16,915,4
Tasmania,Australia,2021-10-16,237,13
Victoria,Australia,2021-10-16,65674,964
Western Australia,Australia,2021-10-16,1112,9
Australian Capital Territory,Australia,2021-10-17,1588,11
New South Wales,Australia,2021-10-17,71658,529
Northern Territory,Australia,2021-10-17,225,0
Queensland,Australia,2021-10-17,2071,7
South Australia,Australia,2021-10-17,915,4
Tasmania,Australia,2021-10-17,237,13
Victoria,Australia,2021-10-17,67457,970
Western Australia,Australia,2021-10-17,1112,9
Australian Capital Territory,Australia,2021-10-18,1612,11
New South Wales,Australia,2021-10-18,71923,533
Northern Territory,Australia,2021-10-18,225,0
Queensland,Australia,2021-10-18,2071,7
South Australia,Australia,2021-10-18,915,4
Tasmania,Australia,2021-10-18,237,13
Victoria,Australia,2021-10-18,69206,981
Western Australia,Australia,2021-10-18,1112,9
Australian Capital Territory,Australia,2021-10-19,1636,11
New South Wales,Australia,2021-10-19,72202,540
Northern Territory,Australia,2021-10-19,225,0
Queensland,Australia,2021-10-19,2072,7
South Australia,Australia,2021-10-19,916,4
Tasmania,Australia,2021-10-19,237,13
Victoria,Australia,2021-10-19,70998,993
Western Australia,Australia,2021-10-19,1112,9
Australian Capital Territory,Australia,2021-10-20,1664,11
New South Wales,Australia,2021-10-20,72560,541
Northern Territory,Australia,2021-10-20,225,0
Queensland,Australia,2021-10-20,2077,7
South Australia,Australia,2021-10-20,916,4
Tasmania,Australia,2021-10-20,237,13
Victoria,Australia,2021-10-20,73151,1005
Western Australia,Australia,2021-10-20,1112,9
Australian Capital Territory,Australia,2021-10-21,1677,11
New South Wales,Australia,2021-10-21,72899,546
Northern Territory,Australia,2021-10-21,225,0
Queensland,Australia,2021-10-21,2082,7
South Australia,Australia,2021-10-21,917,4
Tasmania,Australia,2021-10-21,237,13
Victoria,Australia,2021-10-21,75340,1021
Western Australia,Australia,2021-10-21,1112,9
Australian Capital Territory,Australia,2021-10-22,1701,11
New South Wales,Australia,2021-10-22,73212,548
Northern Territory,Australia,2021-10-22,225,0
Queensland,Australia,2021-10-22,2082,7
South Australia,Australia,2021-10-22,917,4
Tasmania,Australia,2021-10-22,237,13
Victoria,Australia,2021-10-22,76915,1030
Western Australia,Australia,2021-10-22,1112,9
Australian Capital Territory,Australia,2021-10-23,1710,11
New South Wales,Australia,2021-10-23,73500,552
Northern Territory,Australia,2021-10-23,225,0
Queensland,Australia,2021-10-23,2082,7
South Australia,Australia,2021-10-23,917,4
Tasmania,Australia,2021-10-23,237,13
Victoria,Australia,2021-10-23,78821,1041
Western Australia,Australia,2021-10-23,1112,9
Australian Capital Territory,Australia,2021-10-24,1719,11
New South Wales,Australia,2021-10-24,73785,556
Northern Territory,Australia,2021-10-24,225,0
Queensland,Australia,2021-10-24,2082,7
South Australia,Australia,2021-10-24,918,4
Tasmania,Australia,2021-10-24,237,13
Victoria,Australia,2021-10-24,80152,1048
Western Australia,Australia,2021-10-24,1112,9
Australian Capital Territory,Australia,2021-10-25,1731,11
New South Wales,Australia,2021-10-25,74057,557
Northern Territory,Australia,2021-10-25,225,0
Queensland,Australia,2021-10-25,2085,7
South Australia,Australia,2021-10-25,918,4
Tasmania,Australia,2021-10-25,237,13
Victoria,Australia,2021-10-25,81651,1052
Western Australia,Australia,2021-10-25,1112,9
Australian Capital Territory,Australia,2021-10-26,1741,11
New South Wales,Australia,2021-10-26,74362,560
Northern Territory,Australia,2021-10-26,225,0
Queensland,Australia,2021-10-26,2086,7
South Australia,Australia,2021-10-26,918,4
Tasmania,Australia,2021-10-26,237,13
Victoria,Australia,2021-10-26,83185,1065
Western Australia,Australia,2021-10-26,1112,9
Australian Capital Territory,Australia,2021-10-27,1749,11
New South Wales,Australia,2021-10-27,74634,562
Northern Territory,Australia,2021-10-27,225,0
Queensland,Australia,2021-10-27,2087,7
South Australia,Australia,2021-10-27,918,4
Tasmania,Australia,2021-10-27,237,13
Victoria,Australia,2021-10-27,84942,1090
Western Australia,Australia,2021-10-27,1112,9
Australian Capital Territory,Australia,2021-10-28,1759,11
New South Wales,Australia,2021-10-28,74887,564
Northern Territory,Australia,2021-10-28,225,0
Queensland,Australia,2021-10-28,2089,7
South Australia,Australia,2021-10-28,918,4
Tasmania,Australia,2021-10-28,237,13
Victoria,Australia,2021-10-28,86563,1100
Western Australia,Australia,2021-10-28,1112,9
Australian Capital Territory,Australia,2021-10-29,1768,11
New South Wales,Australia,2021-10-29,75112,567
Northern Territory,Australia,2021-10-29,225,0
Queensland,Australia,2021-10-29,2089,7
South Australia,Australia,2021-10-29,918,4
Tasmania,Australia,2021-10-29,237,13
Victoria,Australia,2021-10-29,87918,1111
Western Australia,Australia,2021-10-29,1112,9
Australian Capital Territory,Australia,2021-10-30,1775,11
New South Wales,Australia,2021-10-30,75278,568
Northern Territory,Australia,2021-10-30,225,0
Queensland,Australia,2021-10-30,2089,7
South Australia,Australia,2021-10-30,918,4
Tasmania,Australia,2021-10-30,237,13
Victoria,Australia,2021-10-30,88930,1123
Western Australia,Australia,2021-10-30,1112,9
Australian Capital Territory,Australia,2021-10-31,1780,13
New South Wales,Australia,2021-10-31,75407,572
Northern Territory,Australia,2021-10-31,225,0
Queensland,Australia,2021-10-31,2090,7
South Australia,Australia,2021-10-31,918,4
Tasmania,Australia,2021-10-31,237,13
Victoria,Australia,2021-10-31,90261,1125
Western Australia,Australia,2021-10-31,1112,9
Australian Capital Territory,Australia,2021-11-01,1788,13
New South Wales,Australia,2021-11-01,75578,576
Northern Territory,Australia,2021-11-01,225,0
Queensland,Australia,2021-11-01,2090,7
South Australia,Australia,2021-11-01,918,4
Tasmania,Australia,2021-11-01,237,13
Victoria,Australia,2021-11-01,91217,1134
Western Australia,Australia,2021-11-01,1112,9
Australian Capital Territory,Australia,2021-11-02,1803,13
New South Wales,Australia,2021-11-02,75766,580
Northern Territory,Australia,2021-11-02,225,0
Queensland,Australia,2021-11-02,2089,7
South Australia,Australia,2021-11-02,918,4
Tasmania,Australia,2021-11-02,237,13
Victoria,Australia,2021-11-02,92126,1142
Western Australia,Australia,2021-11-02,1112,9
Australian Capital Territory,Australia,2021-11-03,1816,13
New South Wales,Australia,2021-11-03,76073,584
Northern Territory,Australia,2021-11-03,226,0
Queensland,Australia,2021-11-03,2092,7
South Australia,Australia,2021-11-03,918,4
Tasmania,Australia,2021-11-03,237,13
Victoria,Australia,2021-11-03,93339,1151
Western Australia,Australia,2021-11-03,1112,9
Australian Capital Territory,Australia,2021-11-04,1822,14
New South Wales,Australia,2021-11-04,76314,587
Northern Territory,Australia,2021-11-04,227,0
Queensland,Australia,2021-11-04,2094,7
South Australia,Australia,2021-11-04,918,4
Tasmania,Australia,2021-11-04,237,13
Victoria,Australia,2021-11-04,94669,1161
Western Australia,Australia,2021-11-04,1112,9
Australian Capital Territory,Australia,2021-11-05,1840,14
New South Wales,Australia,2021-11-05,76580,590
Northern Territory,Australia,2021-11-05,228,0
Queensland,Australia,2021-11-05,2095,7
South Australia,Australia,2021-11-05,918,4
Tasmania,Australia,2021-11-05,237,13
Victoria,Australia,2021-11-05,95917,1168
Western Australia,Australia,2021-11-05,1112,9
Australian Capital Territory,Australia,2021-11-06,1853,14
New South Wales,Australia,2021-11-06,76824,591
Northern Territory,Australia,2021-11-06,229,0
Queensland,Australia,2021-11-06,2098,7
South Australia,Australia,2021-11-06,918,4
Tasmania,Australia,2021-11-06,237,13
Victoria,Australia,2021-11-06,97043,1177
Western Australia,Australia,2021-11-06,1112,9
Australian Capital Territory,Australia,2021-11-07,1866,14
New South Wales,Australia,2021-11-07,76988,598
Northern Territory,Australia,2021-11-07,229,0
Queensland,Australia,2021-11-07,2098,7
South Australia,Australia,2021-11-07,918,4
Tasmania,Australia,2021-11-07,237,13
Victoria,Australia,2021-11-07,98130,1182
Western Australia,Australia,2021-11-07,1112,9
Australian Capital Territory,Australia,2021-11-08,1884,14
New South Wales,Australia,2021-11-08,77207,602
Northern Territory,Australia,2021-11-08,230,0
Queensland,Australia,2021-11-08,2099,7
South Australia,Australia,2021-11-08,918,4
Tasmania,Australia,2021-11-08,237,13
Victoria,Australia,2021-11-08,99183,1192
Western Australia,Australia,2021-11-08,1112,9
Australian Capital Territory,Australia,2021-11-09,1893,14
New South Wales,Australia,2021-11-09,77417,605
Northern Territory,Australia,2021-11-09,230,0
Queensland,Australia,2021-11-09,2102,7
South Australia,Australia,2021-11-09,918,4
Tasmania,Australia,2021-11-09,237,13
Victoria,Australia,2021-11-09,100162,1206
Western Australia,Australia,2021-11-09,1112,9
Australian Capital Territory,Australia,2021-11-10,1902,14
New South Wales,Australia,2021-11-10,77671,606
Northern Territory,Australia,2021-11-10,231,0
Queensland,Australia,2021-11-10,2105,7
South Australia,Australia,2021-11-10,918,4
Tasmania,Australia,2021-11-10,237,13
Victoria,Australia,2021-11-10,101451,1209
Western Australia,Australia,2021-11-10,1112,9
Australian Capital Territory,Australia,2021-11-11,1917,14
New South Wales,Australia,2021-11-11,77951,608
Northern Territory,Australia,2021-11-11,231,0
Queensland,Australia,2021-11-11,2109,7
South Australia,Australia,2021-11-11,918,4
Tasmania,Australia,2021-11-11,237,13
Victoria,Australia,2021-11-11,102566,1218
Western Australia,Australia,2021-11-11,1112,9
Australian Capital Territory,Australia,2021-11-12,1928,14
New South Wales,Australia,2021-11-12,78200,608
Northern Territory,Australia,2021-11-12,231,0
Queensland,Australia,2021-11-12,2106,7
South Australia,Australia,2021-11-12,919,4
Tasmania,Australia,2021-11-12,237,13
Victoria,Australia,2021-11-12,103760,1222
Western Australia,Australia,2021-11-12,1112,9
Australian Capital Territory,Australia,2021-11-13,1943,14
New South Wales,Australia,2021-11-13,78393,609
Northern Territory,Australia,2021-11-13,232,0
Queensland,Australia,2021-11-13,2106,7
South Australia,Australia,2021-11-13,920,4
Tasmania,Australia,2021-11-13,237,13
Victoria,Australia,2021-11-13,104665,1226
Western Australia,Australia,2021-11-13,1112,9
Australian Capital Territory,Australia,2021-11-14,1953,14
New South Wales,Australia,2021-11-14,78556,610
Northern Territory,Australia,2021-11-14,231,0
Queensland,Australia,2021-11-14,2109,7
South Australia,Australia,2021-11-14,920,4
Tasmania,Australia,2021-11-14,238,13
Victoria,Australia,2021-11-14,105484,1231
Western Australia,Australia,2021-11-14,1112,9
Australian Capital Territory,Australia,2021-11-15,1965,14
New South Wales,Australia,2021-11-15,78766,612
Northern Territory,Australia,2021-11-15,243,0
Queensland,Australia,2021-11-15,2110,7
South Australia,Australia,2021-11-15,920,4
Tasmania,Australia,2021-11-15,238,13
Victoria,Australia,2021-11-15,106262,1239
Western Australia,Australia,2021-11-15,1113,9
Australian Capital Territory,Australia,2021-11-16,1971,14
New South Wales,Australia,2021-11-16,78994,612
Northern Territory,Australia,2021-11-16,250,0
Queensland,Australia,2021-11-16,2110,7
South Australia,Australia,2021-11-16,921,4
Tasmania,Australia,2021-11-16,238,13
Victoria,Australia,2021-11-16,107245,1248
Western Australia,Australia,2021-11-16,1116,9
